[09-Dec-2013 22:24:19 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:25:04 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:25:08 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:25:09 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:25:10 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:25:12 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:31:16 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:31:43 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:31:51 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:02:59 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:03:01 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:03:05 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:03:14 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:03:37 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:03:39 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:03:41 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:03:42 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
